GK 69712e11-b4d4-3a27-ab01-d3dc8da98e73
FD 2021/09/17,10:31:12.140
FU mph,foot,lb
FV 1,Centurion-CC V1.50,103012NB
SA 1
SG 38.12455,-80.98437,0.0
SN 17713
SR 2021/08/31,00:00:00.000,2021/09/02,00:00:00.000
TC fhwaschemef,14
TD off
TL DEFAULTX.LEN,5.900,9.900,14.900,19.900,24.900,29.900,39.900,49.900,59.900,69.900,79.900,89.900
VV speed,naxles,length,vclass,vclassl
VA aspace
SC 1,1,-1
SL station,0,TL,0-5.9,6-9.9,10-14.9,15-19.9,20-24.9,25-29.9,30-39.9,40-49.9,50-59.9,60-69.9,70-79.9,80-89.9,Other
SL station,0,TC,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Other
SL station,0,description,103012NB
SL channel,1,description,
SE station,0,counterversion,V1.34
SE station,0,countertype,RoadRunner3
SE channel,1,sensortype,Ax-Ax
SE channel,1,sensorspacing,4
V;2021/08/31,01:18:29.250,1;72.8,5,57.900,9,9;0;17.300;4.300;32.300;4.100;
V;2021/08/31,01:19:29.110,1;56.1,2,8.900,2,2;0;8.900;
V;2021/08/31,01:19:39.480,1;65.9,2,9.100,2,2;0;9.100;
V;2021/08/31,01:23:03.030,1;69,2,22.600,4,5;0;22.600;
V;2021/08/31,01:25:35.120,1;67.9,2,8.900,2,2;0;8.900;
V;2021/08/31,01:26:30.320,1;59.5,3,21.100,6,5;0;16.900;4.300;
V;2021/08/31,01:26:30.990,1;59.7,2,4.000,1,1;0;4.000;
V;2021/08/31,01:31:20.100,1;54.4,2,10.000,2,3;0;10.000;
V;2021/08/31,01:36:56.400,1;66.8,2,10.600,3,3;0;10.600;
V;2021/08/31,01:37:15.490,1;72.7,5,57.400,9,9;0;16.700;4.200;32.400;4.000;
V;2021/08/31,01:37:33.280,1;67.5,5,58.800,9,9;0;17.600;4.200;32.900;4.100;
V;2021/08/31,01:37:44.810,1;64.2,5,55.900,9,9;0;17.200;4.400;30.200;4.100;
V;2021/08/31,01:39:26.990,1;67.4,5,59.900,9,9;0;19.600;4.300;32.000;4.100;
V;2021/08/31,01:40:36.730,1;64.3,5,59.800,9,9;0;18.700;4.300;32.700;4.100;
V;2021/08/31,01:44:44.000,1;68,4,49.000,8,8;0;13.000;32.000;4.100;
V;2021/08/31,01:45:26.040,1;69.7,3,20.500,6,5;0;16.300;4.300;
V;2021/08/31,01:45:26.610,1;69.5,2,4.000,1,1;0;4.000;
V;2021/08/31,01:45:30.810,1;70.3,5,66.900,11,10;0;13.300;21.800;9.500;22.300;
V;2021/08/31,01:46:29.350,1;61,5,60.800,9,10;0;15.700;4.200;30.700;10.100;
V;2021/08/31,01:46:53.460,1;60,5,64.000,9,10;0;20.000;4.300;29.500;10.200;
V;2021/08/31,01:48:22.310,1;68.5,2,11.000,3,3;0;11.000;
V;2021/08/31,01:50:13.140,1;67,5,53.500,9,9;0;13.100;4.200;32.200;4.100;
V;2021/08/31,01:50:37.760,1;78.7,2,12.100,3,3;0;12.100;
V;2021/08/31,01:51:02.180,1;69.6,5,66.000,11,10;0;13.300;21.100;9.400;22.200;
V;2021/08/31,01:54:37.560,1;65.1,5,59.400,9,9;0;16.900;4.300;34.200;4.100;
V;2021/08/31,01:56:23.800,1;65.7,4,50.800,8,9;0;12.900;33.900;4.000;
V;2021/08/31,01:58:10.100,1;66.5,2,9.000,2,2;0;9.000;
V;2021/08/31,01:58:27.600,1;63.3,4,40.900,8,8;0;12.600;24.300;4.000;
V;2021/08/31,02:02:44.230,1;53.7,2,10.100,2,3;0;10.100;
V;2021/08/31,02:04:50.530,1;63.8,4,53.300,8,9;0;15.000;34.700;3.600;
V;2021/08/31,02:05:38.860,1;67.8,5,55.400,9,9;0;12.600;4.300;34.500;4.100;
V;2021/08/31,02:05:43.770,1;67.4,2,18.500,5,4;0;18.500;
V;2021/08/31,02:08:48.120,1;66.2,2,9.500,2,2;0;9.500;
V;2021/08/31,02:08:49.490,1;62.5,2,8.700,2,2;0;8.700;
V;2021/08/31,02:10:09.230,1;81.8,2,12.200,3,3;0;12.200;
V;2021/08/31,02:10:12.700,1;85.1,2,10.600,3,3;0;10.600;
V;2021/08/31,02:11:28.580,1;64.8,4,46.400,8,8;0;14.100;28.200;4.100;
V;2021/08/31,02:12:04.030,1;69.3,2,9.100,2,2;0;9.100;
V;2021/08/31,02:12:54.330,1;68,2,9.100,2,2;0;9.100;
V;2021/08/31,02:16:28.960,1;69.9,2,9.300,2,2;0;9.300;
V;2021/08/31,02:17:19.030,1;62.3,2,16.800,5,4;0;16.800;
V;2021/08/31,02:17:32.960,1;61.7,2,8.900,2,2;0;8.900;
V;2021/08/31,02:18:57.930,1;64.7,2,18.600,5,4;0;18.600;
V;2021/08/31,02:19:38.260,1;64.7,2,10.700,3,3;0;10.700;
V;2021/08/31,02:20:12.730,1;74.1,2,12.300,3,3;0;12.300;
V;2021/08/31,02:23:06.540,1;64.1,2,11.600,3,3;0;11.600;
V;2021/08/31,02:23:22.170,1;61.7,2,9.500,2,2;0;9.500;
V;2021/08/31,02:27:07.960,1;60.6,2,8.600,2,2;0;8.600;
V;2021/08/31,02:27:19.510,1;70.8,3,20.700,6,5;0;16.400;4.300;
V;2021/08/31,02:27:20.060,1;71,2,4.100,1,1;0;4.100;
V;2021/08/31,02:30:42.260,1;58.6,2,12.000,3,3;0;12.000;
V;2021/08/31,02:37:27.680,1;69.1,5,59.200,9,9;0;17.100;4.300;33.700;4.100;
V;2021/08/31,02:39:21.730,1;68.4,6,67.900,12,10;0;13.200;4.300;19.700;8.900;21.900;
V;2021/08/31,02:41:13.460,1;65.9,2,8.700,2,2;0;8.700;
V;2021/08/31,02:41:25.510,1;70.3,5,60.500,9,10;0;18.100;4.300;34.000;4.200;
V;2021/08/31,02:43:00.470,1;68.7,5,66.200,11,10;0;13.100;21.500;9.300;22.300;
V;2021/08/31,02:47:20.780,1;71.8,2,13.300,5,3;0;13.300;
V;2021/08/31,02:48:04.990,1;74.7,5,54.200,9,9;0;17.000;4.400;28.900;4.000;
V;2021/08/31,02:49:27.780,1;60.5,5,59.800,9,9;0;17.000;4.300;34.500;4.100;
V;2021/08/31,02:49:31.700,1;64.9,4,52.500,8,9;0;14.100;35.000;3.500;
V;2021/08/31,02:50:07.820,1;64,5,52.500,9,9;0;12.100;4.400;31.900;4.100;
V;2021/08/31,02:50:09.040,1;63.4,2,8.700,2,2;0;8.700;
V;2021/08/31,02:51:28.680,1;59.8,2,9.400,2,2;0;9.400;
V;2021/08/31,02:51:50.670,1;66.1,2,8.400,2,2;0;8.400;
V;2021/08/31,02:52:19.870,1;73.4,5,59.500,9,9;0;17.700;4.300;33.500;4.100;
V;2021/08/31,02:53:06.980,1;65.4,5,57.700,9,9;0;16.800;4.300;32.500;4.000;
V;2021/08/31,02:57:13.040,1;68,2,11.700,3,3;0;11.700;
